CustomerID,Age,Gender,TenureMonths,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,SupportCalls,SatisfactionScore,Churn
CUST1001,58,Male,4,116.4,424.29,Month-to-Month,Fiber Optic,Credit Card,10,9,Yes
CUST1002,19,Male,28,50.25,1398.95,One Year,No Internet,Bank Transfer,10,9,No
CUST1003,35,Male,21,110.76,2285.23,Month-to-Month,Fiber Optic,Bank Transfer,5,2,Yes
CUST1004,40,Female,6,114.87,722.16,Month-to-Month,DSL,Credit Card,8,5,Yes
CUST1005,41,Male,9,25.96,221.65,Month-to-Month,DSL,Credit Card,3,2,Yes
CUST1006,41,Male,48,66.19,3180.53,One Year,No Internet,Credit Card,9,3,Yes
CUST1007,47,Female,35,148.64,5236.69,One Year,No Internet,Bank Transfer,10,6,No
CUST1008,32,Male,41,72.15,2947.71,Month-to-Month,No Internet,UPI,3,8,No
CUST1009,47,Male,34,38.15,1336.88,One Year,No Internet,UPI,9,7,No
CUST1010,32,Male,66,84.16,5583.77,One Year,Fiber Optic,Bank Transfer,10,3,Yes
CUST1011,22,Female,49,97.47,4794.2,Month-to-Month,DSL,Credit Card,10,2,Yes
CUST1012,35,Female,15,58.16,873.17,Month-to-Month,Fiber Optic,UPI,8,3,Yes
CUST1013,58,Female,65,99.17,6444.91,Month-to-Month,Fiber Optic,Credit Card,9,6,Yes
CUST1014,41,Female,31,27.53,901.23,Two Year,Fiber Optic,Credit Card,7,2,Yes
CUST1015,26,Male,61,143.09,8754.02,Month-to-Month,No Internet,Electronic Check,3,9,No
CUST1016,63,Female,52,149.37,7739.71,One Year,DSL,Electronic Check,1,4,Yes
CUST1017,55,Male,29,20.93,642.93,One Year,Fiber Optic,Bank Transfer,1,1,Yes
CUST1018,33,Female,63,47.85,3045.3,Month-to-Month,No Internet,Electronic Check,3,8,Yes
CUST1019,24,Female,46,75.07,3409.28,Month-to-Month,No Internet,Credit Card,10,2,Yes
CUST1020,69,Male,32,44.91,1433.38,Month-to-Month,Fiber Optic,Electronic Check,2,5,No
CUST1021,22,Female,71,32.73,2290.46,One Year,No Internet,Credit Card,1,4,No
CUST1022,31,Female,8,41.4,323.5,Month-to-Month,DSL,UPI,7,5,No
CUST1023,68,Female,20,44.69,848.81,Month-to-Month,Fiber Optic,Credit Card,5,1,Yes
CUST1024,51,Male,8,144.9,1176.72,Month-to-Month,Fiber Optic,Credit Card,9,2,Yes
CUST1025,25,Male,6,100.52,620.09,Month-to-Month,No Internet,UPI,4,4,Yes
CUST1026,34,Female,17,107.32,1836.56,Month-to-Month,DSL,Credit Card,0,8,No
CUST1027,24,Male,69,47.71,3270.49,Month-to-Month,DSL,Credit Card,3,6,Yes
CUST1028,52,Female,68,21.02,1390.9,One Year,DSL,Credit Card,2,5,No
CUST1029,53,Male,35,56.63,1982.59,Month-to-Month,DSL,Bank Transfer,10,5,Yes
CUST1030,21,Male,55,127.82,6996.26,Month-to-Month,DSL,Bank Transfer,10,5,Yes
CUST1031,63,Female,72,21.26,1564.18,Month-to-Month,No Internet,Bank Transfer,8,1,Yes
CUST1032,27,Female,17,25.44,449.17,Month-to-Month,Fiber Optic,UPI,3,4,Yes
CUST1033,53,Female,20,140.35,2774.94,Month-to-Month,Fiber Optic,Bank Transfer,6,1,Yes
CUST1034,68,Female,32,54.68,1722.0,One Year,Fiber Optic,Electronic Check,0,8,No
CUST1035,47,Female,40,126.67,5056.65,Two Year,Fiber Optic,Credit Card,10,4,Yes
CUST1036,22,Female,45,103.39,4690.25,Month-to-Month,No Internet,UPI,0,2,Yes
CUST1037,55,Female,5,34.09,218.87,Month-to-Month,No Internet,UPI,6,10,Yes
CUST1038,54,Male,33,25.77,807.41,Month-to-Month,No Internet,Bank Transfer,5,7,No
CUST1039,39,Female,16,113.57,1836.84,Month-to-Month,DSL,Electronic Check,5,7,No
CUST1040,30,Female,49,108.05,5327.82,Two Year,No Internet,UPI,6,9,Yes
CUST1041,31,Female,42,80.45,3357.28,Month-to-Month,Fiber Optic,Electronic Check,2,2,Yes
CUST1042,57,Female,12,126.4,1481.54,One Year,No Internet,UPI,3,4,Yes
CUST1043,48,Male,59,73.88,4333.32,One Year,Fiber Optic,Electronic Check,7,7,No
CUST1044,18,Male,55,48.45,2639.67,One Year,No Internet,Electronic Check,0,9,No
CUST1045,47,Male,60,106.79,6438.9,Two Year,No Internet,UPI,7,10,No
CUST1046,45,Female,21,116.68,2476.86,Month-to-Month,DSL,Bank Transfer,10,5,Yes
CUST1047,58,Male,36,77.18,2817.78,One Year,Fiber Optic,UPI,5,6,Yes
CUST1048,27,Male,50,110.21,5514.76,One Year,Fiber Optic,Electronic Check,6,6,Yes
CUST1049,31,Female,50,137.63,6879.2,Month-to-Month,No Internet,Credit Card,9,7,No
CUST1050,37,Female,54,89.97,4835.67,One Year,No Internet,Bank Transfer,7,4,Yes
CUST1051,42,Female,52,114.14,5941.72,One Year,Fiber Optic,Credit Card,6,10,Yes
CUST1052,59,Female,18,132.69,2383.89,Month-to-Month,DSL,Electronic Check,5,4,Yes
CUST1053,42,Female,54,52.8,2866.21,Month-to-Month,Fiber Optic,Credit Card,5,4,No
CUST1054,59,Male,4,143.45,571.16,Month-to-Month,Fiber Optic,Bank Transfer,3,3,Yes
CUST1055,31,Female,33,119.7,3910.91,Month-to-Month,No Internet,Credit Card,2,5,Yes
CUST1056,37,Female,51,142.39,7296.92,Month-to-Month,No Internet,Bank Transfer,1,5,No
CUST1057,25,Male,45,89.26,4048.93,One Year,Fiber Optic,UPI,0,7,Yes
CUST1058,41,Female,20,76.61,1559.66,One Year,No Internet,UPI,9,9,No
CUST1059,70,Female,42,130.72,5515.29,One Year,Fiber Optic,UPI,7,4,Yes
CUST1060,60,Female,44,23.73,1073.9,Two Year,Fiber Optic,Electronic Check,3,6,No
CUST1061,56,Female,72,21.32,1540.56,Two Year,Fiber Optic,Bank Transfer,6,8,Yes
CUST1062,48,Female,58,123.08,7155.04,Month-to-Month,Fiber Optic,Electronic Check,3,5,Yes
CUST1063,53,Female,55,149.56,8200.94,Month-to-Month,DSL,Electronic Check,4,5,Yes
CUST1064,30,Female,16,116.57,1888.98,Two Year,No Internet,Bank Transfer,3,4,Yes
CUST1065,55,Female,13,128.24,1687.92,Month-to-Month,DSL,Bank Transfer,4,1,Yes
CUST1066,20,Male,71,57.98,4123.99,Two Year,No Internet,Electronic Check,1,1,No
CUST1067,46,Female,24,145.51,3491.41,Month-to-Month,DSL,Credit Card,1,7,No
CUST1068,61,Male,20,39.4,793.81,Month-to-Month,DSL,Credit Card,3,2,Yes
